County Name,Census_Tract,Average PWDIS,IBL Rank
n/a,State Total,0.018588415,10
Adams,53001950200,0.000000006,1
Adams,53001950300,0.000002639,3
Asotin,53003960100,0.000000587,2
Asotin,53003960200,0.000670848,9
Asotin,53003960300,0.001490323,9
Asotin,53003960400,0.001302192,9
Asotin,53003960500,0.000769926,9
Asotin,53003960600,0.042408403,10
Benton,53005010100,0.000004535,4
Benton,53005010201,3.496186238,10
Benton,53005010202,0.000002394,3
Benton,53005010300,4.413365446,10
Benton,53005010400,4.082373006,10
Benton,53005010500,0.000002901,3
Benton,53005010600,0.0000279,6
Benton,53005010701,0.000000026,1
Benton,53005010703,0.000000107,2
Benton,53005010705,0.618028383,10
Benton,53005010707,0.000001142,3
Benton,53005010708,0.000000064,2
Benton,53005010803,0.000054967,7
Benton,53005010805,0.000074347,7
Benton,53005010807,0.000000917,3
Benton,53005010809,0.000024964,6
Benton,53005010810,0.000015627,5
Benton,53005010811,0.000008234,5
Benton,53005010901,0.000005206,4
Benton,53005010902,0.000002055,3
Benton,53005011001,0.000006049,4
Benton,53005011002,0.000002327,3
Benton,53005011100,0.000001474,3
Benton,53005011200,0.000003456,4
Benton,53005011300,0.000005639,4
Benton,53005011401,0.00000192,3
Benton,53005011402,0.000000081,2
Benton,53005011501,0.000863459,9
Benton,53005011600,0.000237693,8
Benton,53005011700,0.000000061,1
Benton,53005011800,0.000000021,1
Benton,53005011900,0.000000084,2
Benton,53005012000,0.000000108,2
Chelan,53007960100,0.000000003,1
Chelan,53007960300,0.000000001,1
Chelan,53007960700,0.000000002,1
Chelan,53007960801,0.000000001,1
Chelan,53007960802,0.000000002,1
Chelan,53007961000,0.000000003,1
Chelan,53007961100,0.000000001,1
Chelan,53007961200,0.000000001,1
Chelan,53007961301,0,1
Chelan,53007961302,0.000000001,1
Clallam,53009000200,0.000012215,5
Clallam,53009000600,0.000020097,6
Clallam,53009000700,0.000122991,7
Clallam,53009001500,0.000503383,9
Clallam,53009940000,0.000010778,5
Clark,53011040301,0.000000495,2
Clark,53011040302,0.00000302,4
Clark,53011040507,0.081036529,10
Clark,53011040508,0.038291925,10
Clark,53011040509,0.019218576,10
Clark,53011040510,0.005246698,10
Clark,53011040605,0.000001914,3
Clark,53011040609,0.000003212,4
Clark,53011040610,0.000000235,2
Clark,53011040904,0.000000138,2
Clark,53011040905,0.000001496,3
Clark,53011040907,0.000023357,6
Clark,53011040908,0.000008368,5
Clark,53011040909,0.000001165,3
Clark,53011041003,0.000100163,7
Clark,53011041005,0.000473251,9
Clark,53011041007,0.000007067,4
Clark,53011041008,0.000017634,6
Clark,53011041201,0.000007807,5
Clark,53011041205,0.000001118,3
Clark,53011041206,0.000001403,3
Clark,53011041309,0.000006884,4
Clark,53011041310,0.000009364,5
Clark,53011041317,0.000000133,2
Clark,53011041322,0.000004191,4
Clark,53011041323,0.000002729,3
Clark,53011041325,0.000008943,5
Clark,53011041328,0.000004973,4
Clark,53011041329,0.00000143,3
Clark,53011041400,0.000003809,4
Clark,53011041500,0.000009363,5
Clark,53011041600,0.000000572,2
Clark,53011041700,0.000000549,2
Clark,53011041800,0.000000312,2
Clark,53011041900,0.000031399,6
Clark,53011042000,0.000206831,8
Clark,53011042100,0.000215227,8
Clark,53011042300,0.000006394,4
Clark,53011042400,0.0000108,5
Clark,53011042500,0.000005552,4
Clark,53011042600,0.000007212,4
Clark,53011042700,0.000001801,3
Clark,53011042800,0.000005544,4
Clark,53011042900,0.000005157,4
Clark,53011043000,0.000003881,4
Clark,53011043100,0.000007224,4
Columbia,53013960200,0.000005513,4
Cowlitz,53015000300,0.032838401,10
Cowlitz,53015000501,0.000035359,6
Cowlitz,53015000502,0.000091675,7
Cowlitz,53015000601,0.00014571,7
Cowlitz,53015000602,0.000054214,7
Cowlitz,53015000702,0.000016742,6
Cowlitz,53015000703,0.000191302,8
Cowlitz,53015000704,0.000037262,6
Cowlitz,53015001100,0.060293797,10
Cowlitz,53015001200,0.00070299,9
Cowlitz,53015001502,0.000011873,5
Cowlitz,53015001600,0.000097002,7
Cowlitz,53015001700,0.000000753,2
Cowlitz,53015001900,0.000112411,7
Cowlitz,53015002100,0.008540395,10
Douglas,53017950100,0.000009961,5
Douglas,53017950200,0,1
Douglas,53017950300,0.000000002,1
Douglas,53017950400,0.000000003,1
Douglas,53017950500,0.000000005,1
Douglas,53017950600,0.000000002,1
Douglas,53017950700,0.000000001,1
Douglas,53017950800,0.000000001,1
Ferry,53019940000,0.000008189,5
Ferry,53019970100,0.000015657,5
Franklin,53021020100,0.000123088,7
Franklin,53021020200,0.000003948,4
Franklin,53021020300,0.000001938,3
Franklin,53021020400,0.0000057,4
Franklin,53021020501,0.000015515,5
Franklin,53021020502,0.000004878,4
Franklin,53021020601,0.000000358,2
Franklin,53021020603,0.000010064,5
Franklin,53021020606,0.00000036,2
Franklin,53021020700,0.000213429,8
Garfield,53023970300,0.000028299,6
Grant,53025010100,0.000001714,3
Grant,53025010200,0.000035235,6
Grant,53025010500,0,1
Grant,53025010700,0.000377588,8
Grant,53025010800,0.000008898,5
Grant,53025010901,0.000252577,8
Grant,53025010902,0.000222909,8
Grant,53025011000,0.000374346,8
Grant,53025011100,0.000239931,8
Grant,53025011200,0.000007726,5
Grant,53025011401,0.00000178,3
Grant,53025011402,0.000009381,5
Grays Harbor,53027000300,0.000000195,2
Grays Harbor,53027000400,0.000032607,6
Grays Harbor,53027000500,0.000041853,6
Grays Harbor,53027000700,0.000105061,7
Grays Harbor,53027000800,0.00007258,7
Grays Harbor,53027000900,0.000386648,8
Grays Harbor,53027001000,0.000301599,8
Grays Harbor,53027001100,0.000147969,7
Grays Harbor,53027001200,0.000195533,8
Grays Harbor,53027001300,0.000013014,5
Grays Harbor,53027940000,0.000007982,5
Jefferson,53031950702,0.000000279,2
King,53033000100,0.000055749,7
King,53033000200,0.000021112,6
King,53033000700,0.000028021,6
King,53033000800,0.000054286,7
King,53033000900,0.000077563,7
King,53033001000,0.000032721,6
King,53033001100,0.000010665,5
King,53033001500,0.000007688,5
King,53033001600,0.000000091,2
King,53033002100,0.000013613,5
King,53033002200,0.000042882,6
King,53033002400,0.000024485,6
King,53033002500,0.000000044,1
King,53033002600,0.000002185,3
King,53033002800,0.000001066,3
King,53033002900,0.000004303,4
King,53033003000,0.000008837,5
King,53033003100,0.000014843,5
King,53033003200,0.000047213,6
King,53033003300,0.000018132,6
King,53033003400,0.000014772,5
King,53033003500,0.000012173,5
King,53033003600,0.000008439,5
King,53033003800,0.00000227,3
King,53033003900,0.000017482,6
King,53033004000,0.000034413,6
King,53033004100,0.000029907,6
King,53033004200,0.000014486,5
King,53033004301,0.000000246,2
King,53033004302,0.000000337,2
King,53033004400,0.000011832,5
King,53033004500,0.000016148,5
King,53033004600,0.000014367,5
King,53033004700,0.000034309,6
King,53033004800,0.000043868,6
King,53033004900,0.000044831,6
King,53033005000,0.000019156,6
King,53033005100,0.000036717,6
King,53033005200,0.000051203,7
King,53033005301,0.000019229,6
King,53033005302,0.000042184,6
King,53033005400,0.00005462,7
King,53033005600,0.000009862,5
King,53033005700,0.00003517,6
King,53033005801,0.000030246,6
King,53033005802,0.000013891,5
King,53033005900,0.000043521,6
King,53033006000,0.000078287,7
King,53033006100,0.000088311,7
King,53033006200,0.000047957,6
King,53033006300,0.00002479,6
King,53033006400,0.000013366,5
King,53033006500,0.000016409,5
King,53033006600,0.000033032,6
King,53033006700,0.000023409,6
King,53033006800,0.000020869,6
King,53033006900,0.000014345,5
King,53033007000,0.000012688,5
King,53033007100,0.000008254,5
King,53033007200,0.000625957,9
King,53033007300,0.000291044,8
King,53033007401,0.000012862,5
King,53033007402,0.00001056,5
King,53033007500,0.000007682,5
King,53033007600,0.000006936,4
King,53033007700,0.000003096,4
King,53033007800,0.000001583,3
King,53033008001,0.001527644,9
King,53033008002,0.002555455,10
King,53033008100,0.0032564,10
King,53033008200,0.002543033,10
King,53033008300,0.002251364,10
King,53033008400,0.001000805,9
King,53033008500,0.002984241,10
King,53033008600,0.001881724,10
King,53033008700,0.000355576,8
King,53033008800,0.000000252,2
King,53033008900,0.000000107,2
King,53033009000,0.001417228,9
King,53033009100,0.003482453,10
King,53033009200,0.003910088,10
King,53033009300,0.003604659,10
King,53033009400,0.002391259,10
King,53033009600,0.000566131,9
King,53033009702,0.000325666,8
King,53033009800,0.000657342,9
King,53033009900,0.001079959,9
King,53033010001,0.000711996,9
King,53033010002,0.002363749,10
King,53033010401,0.000206165,8
King,53033010402,0.000495629,9
King,53033010500,0.000340657,8
King,53033010600,0.000041416,6
King,53033010701,0.000564894,9
King,53033010702,0.000467407,8
King,53033010800,0.000891965,9
King,53033010900,0.001390121,9
King,53033011001,0.000502506,9
King,53033011002,0.000622546,9
King,53033011101,0.000175175,8
King,53033011102,0.000010226,5
King,53033011200,0.002164953,10
King,53033011300,0.000595303,9
King,53033011401,0.000451418,8
King,53033011402,0.000117716,7
King,53033011500,0.000031336,6
King,53033011700,0.000723766,9
King,53033011800,0.000463879,8
King,53033011900,0.000716205,9
King,53033020402,0.000009226,5
King,53033020500,0.000005511,4
King,53033021100,0.000012747,5
King,53033021300,0.000063916,7
King,53033021400,0.00004575,6
King,53033021500,0.000049373,7
King,53033021600,0.000061617,7
King,53033021700,0.000172182,8
King,53033021802,0.003224245,10
King,53033021803,0.000138261,7
King,53033021804,0.000214242,8
King,53033021903,0.000000427,2
King,53033021904,0.000000242,2
King,53033021905,0.000171068,8
King,53033021906,0.000100902,7
King,53033022001,0.000203115,8
King,53033022003,0.000026576,6
King,53033022006,0.000011788,5
King,53033022101,0.000121404,7
King,53033022102,0.000185324,8
King,53033022201,0.000033829,6
King,53033022202,0.000019853,6
King,53033022203,0.00002956,6
King,53033022300,0.000063263,7
King,53033022400,0.000034085,6
King,53033022500,0.000014832,5
King,53033022603,0.00000018,2
King,53033022604,0.000000096,2
King,53033022605,0.000000426,2
King,53033022606,0.000000265,2
King,53033022701,0.000020774,6
King,53033022702,0.000002983,3
King,53033022703,0.000000023,1
King,53033022801,0.000000232,2
King,53033022802,0.000001429,3
King,53033022803,0.000000374,2
King,53033022901,0.000000211,2
King,53033022902,0.000001407,3
King,53033023401,0.000000003,1
King,53033023500,0.000001679,3
King,53033023604,0.000000092,2
King,53033023801,0.000002029,3
King,53033023803,0.000000554,2
King,53033023804,0.000001677,3
King,53033023900,0.000004422,4
King,53033024000,0.000000795,3
King,53033024100,0.000010293,5
King,53033024200,0.000002259,3
King,53033024300,0.000002086,3
King,53033024400,0.00000451,4
King,53033024500,0.000003262,4
King,53033024601,0.000002973,3
King,53033024602,0.000003507,4
King,53033024701,0.000002569,3
King,53033024702,0.000002952,3
King,53033024800,0.000000882,3
King,53033024901,0.000000458,2
King,53033024903,0.000000002,1
King,53033025001,0.000001586,3
King,53033025005,0.000000129,2
King,53033025102,0.000000879,3
King,53033025200,0.000001435,3
King,53033025301,0.000007438,4
King,53033025302,0.016154086,10
King,53033025400,0.00000284,3
King,53033025500,0.000001838,3
King,53033025601,0.000005743,4
King,53033025602,0.000003257,4
King,53033025701,0.000007059,4
King,53033025702,0.000008461,5
King,53033025803,0.000002057,3
King,53033025804,0.000003249,4
King,53033025805,0.014008792,10
King,53033025806,0.080371407,10
King,53033026001,0.006677777,10
King,53033026002,0.110851002,10
King,53033026100,0.031697471,10
King,53033026200,0.036050259,10
King,53033026300,0.006101188,10
King,53033026400,0.002108521,10
King,53033026500,0.000397559,8
King,53033026801,0.000093798,7
King,53033026802,0.000064504,7
King,53033027000,0.00063445,9
King,53033027100,0.001558727,10
King,53033027200,0.002603268,10
King,53033027300,0.00074107,9
King,53033027400,0.000293003,8
King,53033028100,0.000432114,8
King,53033028200,0.000419167,8
King,53033028300,0.000018542,6
King,53033028402,0.00000671,4
King,53033028403,0.000011414,5
King,53033028801,0.000003157,4
King,53033028802,0.00001243,5
King,53033028901,0.000001288,3
King,53033028902,0.000012175,5
King,53033029003,0.000006328,4
King,53033029004,0.000006141,4
King,53033029101,0.000054707,7
King,53033029102,0.000014296,5
King,53033029203,0.002030416,10
King,53033029204,0.002606025,10
King,53033029205,0.020791686,10
King,53033029206,0.022202941,10
King,53033029303,0.000620741,9
King,53033029304,0.000000458,2
King,53033029305,0.000682601,9
King,53033029306,0.000188705,8
King,53033029403,0.000114397,7
King,53033029503,0.000001634,3
King,53033029602,0.000002399,3
King,53033029700,0.000235137,8
King,53033029801,0.000273703,8
King,53033029802,0.000393391,8
King,53033029901,0.000407152,8
King,53033029902,0.001170346,9
King,53033030003,0.000000287,2
King,53033030401,0.003875145,10
King,53033030404,0.000522254,9
King,53033030501,0.001054121,9
King,53033030503,0.000642834,9
King,53033030504,0.000563108,9
King,53033030600,0.000406953,8
King,53033030700,0.001355167,9
King,53033030801,0.000021588,6
King,53033030802,0.000003057,4
King,53033030901,0.012004555,10
King,53033030902,0.000004952,4
King,53033031000,0.000004897,4
King,53033031100,0.000006643,4
King,53033031202,0.000002073,3
King,53033031204,0.00000012,2
King,53033031205,0.000004763,4
King,53033031206,0.000000033,1
King,53033031301,0.000000539,2
King,53033031302,0.000001143,3
King,53033031400,0.000000007,1
King,53033031903,0.000000408,2
King,53033031906,0.000000043,1
King,53033031907,0.000001215,3
King,53033031908,0.000001391,3
King,53033031909,0.000000412,2
King,53033032307,0.000000011,1
King,53033032309,0.000002791,3
King,53033032313,0.00001132,5
King,53033032315,0.000000185,2
King,53033032316,0.000005219,4
King,53033032317,0.000001801,3
King,53033032318,0.000001425,3
King,53033032319,0.001982776,10
King,53033032320,0.000303643,8
King,53033032321,0.000000385,2
King,53033032322,0.000000082,2
King,53033032323,0.00000103,3
King,53033032324,0.000001161,3
King,53033032325,0.000003742,4
King,53033032326,0.000000798,3
King,53033032327,0.000000291,2
King,53033032328,0.000005271,4
King,53033032329,0.000000397,2
King,53033032800,0.000003534,4
Kitsap,53035090800,0.000000421,2
Kitsap,53035091100,0.000043265,6
Kitsap,53035091203,0.000019107,6
Kitsap,53035091204,0.000008842,5
Kitsap,53035091500,0.000004991,4
Kitsap,53035091600,0.000009591,5
Kitsap,53035091700,0.000007099,4
Kittitas,53037975700,0.000000003,1
Klickitat,53039950100,0.00000516,4
Klickitat,53039950200,0.00009288,7
Klickitat,53039950300,0.000055547,7
Lewis,53041970100,0.000006028,4
Lewis,53041970200,0.000296356,8
Lewis,53041970300,0.000606283,9
Lewis,53041970400,0.003759227,10
Lewis,53041970500,0.003701774,10
Lewis,53041970600,0.002958412,10
Lewis,53041970700,0.000270361,8
Lewis,53041970800,0.000394439,8
Lewis,53041970900,0.000627889,9
Lewis,53041971000,0.000541938,9
Lewis,53041971100,0.000492957,9
Lewis,53041971400,0.000048496,6
Lewis,53041971800,0.000000008,1
Lincoln,53043960200,0.000408637,8
Lincoln,53043960300,0.000005015,4
Okanogan,53047940100,0.000042449,6
Okanogan,53047940200,0.000000688,2
Okanogan,53047970800,0.00000005,1
Okanogan,53047970900,0.000000071,2
Okanogan,53047971000,0.000000148,2
Pend Oreille,53051970100,0.000213848,8
Pend Oreille,53051970200,0.003362683,10
Pend Oreille,53051970300,0.000056727,7
Pend Oreille,53051970400,0.00000848,5
Pierce,53053060200,0.000084954,7
Pierce,53053060600,0.000026707,6
Pierce,53053061300,0.000011042,5
Pierce,53053061400,0.000037133,6
Pierce,53053061500,0.000050057,7
Pierce,53053061601,0.000049876,7
Pierce,53053061602,0.00004217,6
Pierce,53053061700,0.00001476,5
Pierce,53053061900,0.000019465,6
Pierce,53053062000,0.000046654,6
Pierce,53053062300,0.000012284,5
Pierce,53053062600,0.000000011,1
Pierce,53053070100,0.00000002,1
Pierce,53053070203,0.000000004,1
Pierce,53053070204,0,1
Pierce,53053070205,0.000000318,2
Pierce,53053070206,0.000000012,1
Pierce,53053070207,0.000001976,3
Pierce,53053070307,0.000002037,3
Pierce,53053070308,0.000000002,1
Pierce,53053070309,0.000000011,1
Pierce,53053070310,0.000000001,1
Pierce,53053070312,0.000000004,1
Pierce,53053070313,0.000018382,6
Pierce,53053070314,0.000025771,6
Pierce,53053070315,0.000001128,3
Pierce,53053070316,0.00000179,3
Pierce,53053070401,0.000000022,1
Pierce,53053070403,0.000000012,1
Pierce,53053070404,0.00000007,2
Pierce,53053071205,0.000009469,5
Pierce,53053071207,0.000006358,4
Pierce,53053071208,0,1
Pierce,53053071209,0.000005807,4
Pierce,53053071210,0.000000008,1
Pierce,53053071902,0.000000222,2
Pierce,53053072105,0.000006527,4
Pierce,53053072106,0.000001967,3
Pierce,53053072107,0.000001333,3
Pierce,53053072109,0.000005627,4
Pierce,53053072111,0.000003081,4
Pierce,53053072112,0.000002015,3
Pierce,53053072307,0.000001583,3
Pierce,53053072308,0.0000035,4
Pierce,53053072309,0.000000264,2
Pierce,53053072312,0.000000011,1
Pierce,53053072800,0.000000006,1
Pierce,53053073001,0.000000009,1
Pierce,53053073006,0.000000015,1
Pierce,53053073110,0.000000004,1
Pierce,53053073111,0,1
Pierce,53053073113,0,1
Pierce,53053073122,0.000000001,1
Pierce,53053073123,0.000000004,1
Pierce,53053073200,0.000000023,1
Pierce,53053073301,0.000112447,7
Pierce,53053073302,0.000095076,7
Pierce,53053073404,0.000054621,7
Pierce,53053073405,0.000061406,7
Pierce,53053073406,0.000082353,7
Pierce,53053073407,0.000275775,8
Pierce,53053073408,0.000141906,7
Pierce,53053073500,0.000036191,6
Pierce,53053940002,0.000030104,6
Pierce,53053940003,0.000142825,7
Pierce,53053940004,0.000060188,7
Pierce,53053940006,0.000043047,6
Pierce,53053940007,0.000100966,7
Pierce,53053940008,0.000000811,3
Pierce,53053940009,0.000027813,6
Pierce,53053940010,0.000219013,8
Pierce,53053940011,0.000005163,4
San Juan,53055960100,0.000007166,4
Skagit,53057940800,0.000002182,3
Skagit,53057952100,0.000064532,7
Skagit,53057952200,0.000593041,9
Skagit,53057952302,0.00051855,9
Skagit,53057952401,0.003947398,10
Skagit,53057952402,0.000870027,9
Skagit,53057952500,0.008556772,10
Skagit,53057952600,0.006037321,10
Skagit,53057952700,0.00013434,7
Skamania,53059950200,0.00005158,7
Skamania,53059950300,0.000099988,7
Skamania,53059950400,0.000069635,7
Skamania,53059950500,0.000013075,5
Snohomish,53061040100,0.000051507,7
Snohomish,53061040200,0.000102017,7
Snohomish,53061040300,0.000064843,7
Snohomish,53061040400,0.000020796,6
Snohomish,53061040500,0.000101529,7
Snohomish,53061040700,0.000010569,5
Snohomish,53061040800,0.000005857,4
Snohomish,53061040900,0.000099168,7
Snohomish,53061041000,0.000005094,4
Snohomish,53061041201,0.000082219,7
Snohomish,53061041301,0.000399419,8
Snohomish,53061041303,0.000234104,8
Snohomish,53061041304,0.00078918,9
Snohomish,53061041400,0.000000794,2
Snohomish,53061041500,0.000004368,4
Snohomish,53061041901,0.000083023,7
Snohomish,53061041903,0.000308377,8
Snohomish,53061041904,0.000085436,7
Snohomish,53061041905,0.000001756,3
Snohomish,53061042001,0.000119369,7
Snohomish,53061051912,0.001153209,9
Snohomish,53061051914,0.000001389,3
Snohomish,53061051917,0.00000872,5
Snohomish,53061051918,0.000021993,6
Snohomish,53061051925,0.000418168,8
Snohomish,53061051926,0.001720635,10
Snohomish,53061052104,0.001425604,9
Snohomish,53061052107,0.000329602,8
Snohomish,53061052108,0.000180247,8
Snohomish,53061052112,0.000002471,3
Snohomish,53061052503,0.001401927,9
Snohomish,53061052504,0.000481556,9
Snohomish,53061052604,0.000452313,8
Snohomish,53061052705,0.000316857,8
Snohomish,53061052706,0.001437896,9
Snohomish,53061052707,0.000672599,9
Snohomish,53061052708,0.000001223,3
Snohomish,53061052805,0.000005245,4
Snohomish,53061052903,0.000451822,8
Snohomish,53061052904,0.000281487,8
Snohomish,53061052905,0.000173497,8
Snohomish,53061052906,0.000043825,6
Snohomish,53061053301,0,1
Snohomish,53061053302,0.000000004,1
Snohomish,53061053801,0.000000951,3
Snohomish,53061940001,0.000074177,7
Spokane,53063000200,0.000293896,8
Spokane,53063000300,0.000163869,8
Spokane,53063000400,0.000004836,4
Spokane,53063000600,0.000075946,7
Spokane,53063000700,0.000463414,8
Spokane,53063000800,0.000432182,8
Spokane,53063000900,0.001046393,9
Spokane,53063001000,0.003138877,10
Spokane,53063001100,0.001202994,9
Spokane,53063001200,0.000719644,9
Spokane,53063001300,0.000400179,8
Spokane,53063001400,0.000686561,9
Spokane,53063001500,0.000989298,9
Spokane,53063001600,0.001409237,9
Spokane,53063001800,0.007944302,10
Spokane,53063001900,0.000911623,9
Spokane,53063002000,0.001348388,9
Spokane,53063002100,0.002832766,10
Spokane,53063002300,0.0039075,10
Spokane,53063002400,0.002734383,10
Spokane,53063002500,0.003379143,10
Spokane,53063002600,0.00518079,10
Spokane,53063002900,0.000160946,8
Spokane,53063003000,0.000825505,9
Spokane,53063003100,0.001088933,9
Spokane,53063003200,0.001185777,9
Spokane,53063003500,0.003661734,10
Spokane,53063003600,0.003791967,10
Spokane,53063003800,0.000077796,7
Spokane,53063003900,0.000000725,2
Spokane,53063004000,0.000256045,8
Spokane,53063004100,0.000212033,8
Spokane,53063004200,0.000000168,2
Spokane,53063004300,0.000000193,2
Spokane,53063004400,0.000000094,2
Spokane,53063004500,0.000306368,8
Spokane,53063004601,0.000254106,8
Spokane,53063004700,0.000000018,1
Spokane,53063004900,0.000000113,2
Spokane,53063005000,0.000000072,2
Spokane,53063010100,0.000089256,7
Spokane,53063010402,0.000442389,8
Spokane,53063010503,0.000095804,7
Spokane,53063010601,0.00272647,10
Spokane,53063010602,0.000788389,9
Spokane,53063010700,0.000002692,3
Spokane,53063011202,0.000041334,6
Spokane,53063011300,0.002579228,10
Spokane,53063011400,0.001441114,9
Spokane,53063011500,0.004002993,10
Spokane,53063011600,0.00472478,10
Spokane,53063011701,0.001013261,9
Spokane,53063011702,0.001885304,10
Spokane,53063011800,0.000999747,9
Spokane,53063011900,0.000502675,9
Spokane,53063012000,0.000543524,9
Spokane,53063012100,0.000422794,8
Spokane,53063012200,0.001752441,10
Spokane,53063012300,0.000150667,7
Spokane,53063012701,0.000058488,7
Spokane,53063012901,0.00139768,9
Spokane,53063012902,0.000253103,8
Spokane,53063013000,0.000495553,9
Spokane,53063013100,0.001821307,10
Spokane,53063013201,0.002098456,10
Spokane,53063013202,0.000752998,9
Spokane,53063013300,0.000000002,1
Spokane,53063013500,0.000000172,2
Spokane,53063013600,0.00000005,1
Spokane,53063013700,0.000192378,8
Spokane,53063014200,0,1
Spokane,53063014300,0.000000207,2
Spokane,53063014400,0.003199638,10
Spokane,53063014500,0.002811577,10
Stevens,53065941000,0.000169695,8
Stevens,53065950100,0.000019234,6
Stevens,53065950200,0.00000522,4
Stevens,53065950300,0.000318695,8
Stevens,53065950500,0.000125335,7
Stevens,53065950900,0.00000563,4
Stevens,53065951400,0.001519856,9
Thurston,53067010910,0.000000311,2
Thurston,53067010920,0.000000439,2
Thurston,53067011000,0.000001969,3
Thurston,53067011810,0.000000279,2
Thurston,53067011822,0.000000411,2
Thurston,53067011900,0.000000003,1
Thurston,53067012222,0.000000001,1
Thurston,53067012320,0.000000036,1
Thurston,53067012411,0.000000024,1
Thurston,53067012412,0.000000008,1
Thurston,53067012420,0.000000001,1
Thurston,53067012510,0.000000005,1
Thurston,53067012520,0.000000004,1
Thurston,53067012620,0.002070913,10
Thurston,53067012710,0.000961761,9
Thurston,53067012720,0.000104597,7
Thurston,53067012730,0.000000104,2
Wahkiakum,53069950100,0.00015626,8
Walla Walla,53071920000,0.000702946,9
Whatcom,53073000100,0.000003161,4
Whatcom,53073000400,0.000010702,5
Whatcom,53073000501,0.00001474,5
Whatcom,53073000502,0.000015953,5
Whatcom,53073000600,0.000000218,2
Whatcom,53073000700,0.000102782,7
Whatcom,53073000803,0.000032855,6
Whatcom,53073000804,0.000008593,5
Whatcom,53073000805,0.000006291,4
Whatcom,53073000901,0.000010675,5
Whatcom,53073000902,0.000000038,1
Whatcom,53073001000,0.000000137,2
Whatcom,53073001100,0.000000008,1
Whatcom,53073001201,0.000000012,1
Whitman,53075000100,0.000011755,5
Whitman,53075000200,0.000009245,5
Whitman,53075000300,0.000005226,4
Whitman,53075000400,0.000033775,6
Whitman,53075000500,0.00003468,6
Whitman,53075000600,0.00000442,4
Whitman,53075000700,0.000000068,2
Whitman,53075000800,0.000013961,5
Whitman,53075000900,0.000000739,2
Whitman,53075001000,0.000050628,7
Yakima,53077002102,0.00003975,6
Yakima,53077002200,0.003374974,10
Yakima,53077940001,0.00007605,7
Yakima,53077940002,0.016429698,10
Yakima,53077940004,0.000673284,9
Yakima,53077940005,0.025311033,10
Yakima,53077940006,0.057835314,10
